Recipe_Name,Recipe_URL,Detailed_Ingredients,Instructions,Prep_Time,Ingredients,Image_Link
Easiest Applesauce Cake,https://www.allrecipes.com/recipe/27709/easiest-applesauce-cake/,"1 (18.25 ounce) package yellow cake mix, 1 (3.4 ounce) package instant vanilla pudding mix, ½ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, 1 cup applesauce, ¼ cup vegetable oil, 4 eggs, ½ cup water","Preheat the oven to 350 degrees F (180 degrees C). Grease and flour three 8x4-inch loaf pans. In a large bowl, stir together cake mix, instant pudding mix, nutmeg, and cinnamon. Add applesauce, oil, eggs, and water. Blend for 3 to 4 minutes using an electric mixer. Divide the batter evenly between the prepared pans. Bake for 50 to 55 minutes in the preheated oven, or until a toothpick inserted in the center comes out clean.",1 hr,"yellow cake mix, vanilla pudding mix, nutmeg, cinnamon, applesauce, vegetable oil, eggs, water",image/11.png
Apple Pie Filling,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg","Gather the ingredients. Place apples in a bowl. Toss apples with lemon juice in a large bowl and set aside. Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, constantly stirring. Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes. Ladle into 5 freezer containers, leaving ½ inch of headspace. Cool at room temperature no longer than 1½ hours. Seal and freeze. Can be stored for up to 12 months.",2 hrs 40 mins,"apples, lemon juice, water, sugar, cornstarch, cinnamon, salt, nutmeg",image/12.png
Rompope (Mexican Eggnog),https://www.allrecipes.com/recipe/260832/rompope-mexican-eggnog/,"3 pints whole milk, 2 ½ cups white sugar, 2 cinnamon sticks, 15 egg yolks, 1 cup rum","Bring milk, sugar, and cinnamon sticks to a boil in a large saucepan over low heat. Continue to boil, stirring constantly, until milk has reduced by a little more than one-third, about 20 minutes. Remove from the heat. Leave in the saucepan and allow to cool slightly, about 10 minutes. Beat egg yolks with an electric mixer until thick and pale. Mix in a little of the warm milk mixture. Pour egg yolk mixture into the saucepan with the remaining milk mixture. Stir to combine and bring to a boil over low heat. Stir constantly, scraping the bottom and sides, until mixture is thick enough to coat the back of a spoon, 5 to 7 minutes. Remove from the heat, remove cinnamon sticks, and cool to lukewarm, 15 to 30 minutes. Stir in rum and cool completely, about 2 hours",3 hrs 15 mins,"milk, sugar, cinnamon, egg, rum",image/13.png
Best Baconless Spinach Salad Dressing,https://www.allrecipes.com/recipe/241756/best-baconless-spinach-salad-dressing/,"½ cup olive oil, 2 tablespoons white wine vinegar, 2 teaspoons honey Dijon mustard, 2 teaspoons grated red onion, 1 teaspoon sea salt, ½ teaspoon ground black pepper, ¼ teaspoon lemon juice, ⅓ cup white sugar, or more to taste","Whisk olive oil, white wine vinegar, Dijon mustard, red onion, sea salt, black pepper, and lemon juice together in a microwave-safe bowl. Cook oil mixture in the microwave until hot and almost boiling, 1½ to 2 minutes. Gradually whisk sugar into hot mixture until dressing is thick and creamy.",15 mins,"olive oil, wine vinegar, honey Dijon mustard, onion, sea salt, pepper, lemon juice, sugar",image/14.png
Best Baked Potato Soup,https://www.allrecipes.com/recipe/25665/baked-potato-soup-v/,"9 baking potatoes, ⅔ cup butter, ⅔ cup all-purpose flour, 6 cups whole milk, ½ tablespoon salt, 1 teaspoon ground black pepper, ½ cup bacon bits, divided, 4 green onions, chopped, 10 ounces shredded Cheddar cheese, 1 (8 ounce) container sour cream","Prick potatoes with a fork and cook in the microwave, 3 or 4 at a time, until fork-tender, about 7 to 8 minutes. When cool enough to handle, scoop out the flesh. Melt butter in a large saucepan over medium heat; stir in flour and cook until well combined, about a minute. Whisk in milk, a little at a time, stirring constantly until thickened. Stir in cooked potatoes, salt, pepper, 1/3 cup bacon bits, 2 tablespoons green onions and most of the cheese. Cook until thoroughly heated. Stir in sour cream and heat through. Serve topped with remaining bacon, onions and cheese",1 hr 15 mins,"baking potatoes, butter, all flour, milk, salt, pepper, bacon bits, onions, Cheddar cheese, sour cream",image/15.png
Quick and Easy Vegetable Soup,https://www.allrecipes.com/recipe/13338/quick-and-easy-vegetable-soup/,"1 (14.5 ounce) can diced tomatoes, 1 (14 ounce) can chicken broth, 1 (11.5 ounce) can tomato-vegetable juice cocktail, 2 carrots, sliced, 2 stalks celery, diced, 1 large potato, diced, 1 cup chopped fresh green beans, 1 cup fresh corn kernels, 1 cup water, salt and pepper to taste, 1 pinch Creole seasoning, or more to taste","Gather all ingredients. Combine tomatoes, chicken broth, tomato juice, carrots, celery, potato, green beans, corn, and water in a large stockpot. Season with salt, pepper, and Creole seasoning. Bring to a boil over medium heat and simmer until vegetables are tender, about 30 minutes. Serve hot and enjoy",50 mins,"tomatoes, chicken broth, tomato juice cocktail, carrots, celery, potato, beans, corn kernels, water, salt pepper, Creole seasoning",image/16.png
Hamburger Soup,https://www.allrecipes.com/recipe/12921/hamburger-soup-i/,"1 pound lean ground beef, 5 cups water, 1 (16 ounce) can diced tomatoes, 1 (10 ounce) package frozen corn kernels, 1 (8 ounce) can tomato sauce, 1 cup chopped carrots, 1 cup chopped celery, 1 cup chopped onion, 6 beef bouillon cubes, 3 tablespoons ketchup, 1 teaspoon dried basil, 1 teaspoon salt","Gather all ingredients. Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease.Combine beef, water, tomatoes, corn, tomato sauce, carrots, celery, onion, bouillon, ketchup, basil, and salt in a large stockpot; bring to a boil. Reduce heat and simmer for at least 1 ½ hours.",1 hr 50 mins,"beef, water, tomatoes, corn kernels, tomato sauce, carrots, celery, onion, beef bouillon, ketchup, basil, salt",image/17.png
Breakfast Casserole,https://www.allrecipes.com/recipe/172671/breakfast-sausage-casserole/,"1 pound breakfast sausage, 6 eggs, 2½ cups milk, divided, ¾ teaspoon dry mustard powder, ½ teaspoon salt, 8 slices bread, cubed, 4 cups shredded Cheddar cheese, 1 (10.5 ounce) can condensed cream of mushroom soup","Grease a 9x13-inch baking dish. Cook sausage in a large skillet over medium-high heat until evenly browned, crumbly, and no longer pink in the center, 7 to 9 minutes. Drain and discard any excess grease. While the sausage is cooking, whisk eggs in a mixing bowl until smooth. Whisk in 2 cups milk, mustard powder, and salt until evenly blended. Spread bread cubes into the prepared dish; sprinkle sausage over top, then Cheddar cheese. Pour egg mixture over the entire dish. Cover and refrigerate, 8 hours to overnight. When ready to bake, preheat the oven to 300 degrees F (150 degrees C). Remove casserole from the refrigerator and uncover. Whisk condensed soup and remaining ½ cup milk together in a bowl; pour mixture over casserole. Bake in the preheated oven until firm and golden brown, about 1½ hours",10 hrs,"breakfast sausage, eggs, milk, mustard powder, salt, bread, Cheddar cheese, cream of mushroom soup",image/18.png
Chili Soup,https://www.allrecipes.com/recipe/15914/chili-soup/,"3 pounds ground beef 1 ½ cups chopped onion 8 cups tomato juice 4 (15 ounce) cans kidney beans 4 (10.75 ounce) cans condensed tomato soup 2 large potatoes, cubed 3 teaspoons chili powder 8 cups water 1/8 teaspoon salt, or to taste","Combine ground beef and onions in a large pot over medium heat; cook and stir until meat is browned and crumbly, about 5 minutes. Drain excess fat. Add tomato juice, beans, tomato soup, potatoes, and chili powder. Stir in water and salt. Bring to a boil, then reduce heat to low and simmer until potatoes are tender and soup has thickened, about 1 hour",1 hr 15 mins,"beef, onion, tomato juice, kidney beans, tomato soup, potatoes, chili powder, water, salt",image/19.png
Dad's Basic Moist Pork Roast,https://www.allrecipes.com/recipe/233620/dads-basic-moist-pork-roast/,"2 tablespoons olive oil, 1 tablespoon ground black pepper, 1 teaspoon kosher salt, 1 (3 pound) boneless top loin pork roast","Combine oil, pepper, and salt in a bowl; rub oil mixture over pork and refrigerate while the oven preheats. Preheat the oven to 475 degrees F (245 degrees C). Place pork on a roasting rack set in a large roasting pan. Roast in the preheated oven for 30 minutes. Remove pork from the oven and reduce the heat to 325 degrees F (165 degrees C). Insert an instant-read thermometer into the thickest part of the center. The temperature will range from 80 to 110 degrees F (27 to 43 degrees C). Allow pork to rest uncovered at room temperature until the internal temperature reaches between 115 and 140 degrees F (46 and 60 degrees C), about 30 minutes. Return to oven and continue to cook until internal temperature reaches 145 degrees F (63 degrees C), 15 to 30 minutes more. Let the roast stand uncovered at room temperature for 15 to 20 minutes before slicing and serving",1 hr 40 mins,"olive oil, pepper, kosher salt, top loin pork roast",image/20.png
Quick and Easy Hamburger Stroganoff,https://www.allrecipes.com/recipe/240773/quick-and-easy-hamburger-stroganoff/,"1 (16 ounce) package egg noodles, 2 tablespoons butter, 1 onion, chopped, 1 pound ground beef, 1 tablespoon all-purpose flour, 1 (4.5 ounce) can sliced mushrooms, drained (Optional), 1 tablespoon garlic salt, or to taste, 1 (10.5 ounce) can cream of mushroom soup, 1 (10.5 ounce) can cream of chicken soup, 1 cup sour cream","Gather all ingredients. Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes; drain. Meanwhile, melt butter in a large skillet over medium-high heat. Sauté onion in hot butter until tender and translucent, about 5 minutes. Add ground beef in small chunks; cook and stir beef until browned and crumbly, 5 to 7 minutes. Sprinkle flour over beef mixture; cook and stir for 1 minute. Stir in mushrooms and garlic salt. Pour in mushroom soup and chicken soup; cook and stir until heated through, about 5 minutes. Stir in sour cream until smooth and heated through, 2 to 3 minutes more. Serve beef mixture over cooked egg noodles",30 mins,"egg noodles, butter, onion, beef, all flour, mushrooms, garlic salt, cream of mushroom soup, cream of chicken soup, sour cream",image/21.png
Simple Hamburger Stroganoff,https://www.allrecipes.com/recipe/23260/simple-hamburger-stroganoff/,"1 (16 ounce) package egg noodles, 1 pound lean ground beef, 1 (8 ounce) package cream cheese, cut into pieces, 1 (6 ounce) can chopped mushrooms, with liquid, 1 (.75 ounce) packet dry brown gravy mix, 2 (10.5 ounce) cans condensed cream of mushroom soup, 1 (8 ounce) container sour cream, ½ cup milk","Fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain. Meanwhile, cook ground beef in a large skillet over medium-high heat, stirring occasionally, until browned and crumbly, 5 to 7 minutes; drain and discard grease. Stir in cream cheese, mushrooms with liquid, and gravy mix; cook and stir over medium heat until cream cheese melts, 2 to 3 minutes. Add condensed soup, sour cream, and milk; cook, stirring occasionally, until smooth and creamy, 3 to 5 minutes. Drain egg noodles; stir into the beef mixture. Cook until heated through, 2 to 3 minutes",20 mins,"egg noodles, beef, cream cheese, mushrooms, liquid, brown gravy mix, cream of mushroom soup, sour cream, milk",image/22.png
Chocolate Crinkle Cookies,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/,"2 cups white sugar, 1 cup unsweetened cocoa powder, ½ cup vegetable oil, 4 large eggs, 2 teaspoons vanilla extract, 2 cups all-purpose flour, 2 teaspoons baking powder, ½ teaspoon salt, ½ cup confectioners' sugar","Gather ingredients. Mix sugar, cocoa, and oil together in a medium bowl. Beat in eggs, one at a time, until combined. Stir in vanilla. Combine flour, baking powder, and salt in another bowl. Gradually stir flour mixture into the cocoa mixture until thoroughly mixed. Cover dough and refrigerate for at least 4 hours. Preheat the oven to 350 degrees F (175 degrees C). Line two cookie sheets with parchment paper. Roll or scoop chilled dough into 1-inch balls. Coat each ball in confectioners' sugar and place 1 inch apart on the prepared cookie sheets. Bake in the preheated oven for 10 to 12 minutes. Let stand on the cookie sheet for a few minutes before transferring to wire racks to cool. Repeat Steps 4 and 5 to make remaining batches. ",5 hrs,"sugar, cocoa powder, vegetable oil, eggs, vanilla extract, all flour, baking powder, salt, confectioner sugar",image/23.png
Apple Dump Cake,https://www.allrecipes.com/recipe/244777/apple-pie-cake-mix-cake/,"2 (21 ounce) cans apple pie filling, 1 (15.25 ounce) package yellow cake mix, ½ cup butter, melted","Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Pour pie filling into a 9x13-inch baking dish. Sprinkle cake mix evenly over apple pie filling and top with melted butter. Bake in the preheated oven until the top starts to turn brown, about 40 minutes. Cool cake 15 minutes before serving. Serve and enjoy",1 hr,"apple pie filling, yellow cake mix, butter",image/24.png
Easy Stuffed Pepper Soup,https://www.allrecipes.com/recipe/13182/stuffed-pepper-soup-i/,"2 pounds ground beef, 1 green bell pepper, chopped, 1 (29 ounce) can tomato sauce, 1 (29 ounce) can diced tomatoes, 2 cubes beef bouillon cube, ¼ cup packed brown sugar, 2 teaspoons salt, 1 teaspoon ground black pepper, 1 tablespoon soy sauce, 2 cups cooked white rice","Brown beef in a Dutch oven over medium high heat until browned; drain off any fat. Add green pepper and saute for 3 minutes. Stir in tomato sauce, diced tomatoes with juice, bouillon cubes, brown sugar, salt, black pepper, and soy sauce. Reduce heat to low, cover and simmer for 30 to 45 minutes. Stir in rice and heat through",40 mins,"beef, bell pepper, tomato sauce, tomatoes, beef bouillon cube, sugar, salt, pepper, soy sauce, rice",image/25.png
Stuffed Pepper Soup,https://www.allrecipes.com/recipe/13378/stuffed-pepper-soup-iv/,"1 pound ground sirloin, 1 green bell pepper, chopped, 1 cup finely diced onion, 1 (29 ounce) can diced tomatoes, 1 (15 ounce) can tomato sauce, 1 (14 ounce) can chicken broth, ¼ teaspoon dried thyme, ¼ teaspoon dried sage, salt and pepper to taste, 2 cups water, 1 cup white rice","Gather all ingredients. Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease. Add green pepper and onion; cook and stir until onion has softened and turned translucent, about 5 minutes. Add tomatoes, tomato sauce, broth, thyme, and sage; season with salt and pepper. Cover and simmer until peppers are tender, about 30 to 45 minutes. Meanwhile, bring water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes. Stir cooked rice into soup; heat through and serve",1 hr,"sirloin, bell pepper, onion, tomatoes, tomato sauce, chicken broth, thyme, sage, salt pepper, water, rice",image/26.png
Cream of Mushroom Soup,https://www.allrecipes.com/recipe/13096/cream-of-mushroom-soup-i/,"5 cups sliced fresh mushrooms, 1½ cups chicken stock, ½ cup chopped onion, ⅛ teaspoon dried thyme, 3 tablespoons butter, 3 tablespoons all-purpose flour, ¼ teaspoon salt, ¼ teaspoon ground black pepper, 1 cup half-and-half or heavy cream, 1 tablespoon sherry","Gather all ingredients. Simmer mushrooms, stock, onion, and thyme in a large heavy saucepan until vegetables are tender, 10 to 15 minutes. Carefully transfer the hot mixture to a blender or food processor. Cover and hold lid down with a potholder; pulse until creamy but still with some chunks of vegetable. Melt butter in the same saucepan. Whisk in flour until smooth. Whisk in salt and pepper. Slowly whisk in half-and-half and mushroom mixture. Bring soup to a boil and cook, stirring constantly, until thickened. Stir in sherry. Taste and season with more salt and pepper if needed. ",50 mins,"mushrooms, chicken stock, onion, thyme, butter, all flour, salt, pepper, half heavy cream, sherry",image/27.png
